data,pubblicazione,url,fascia,vaccino,popolazione,diagnosi,ricoveri,intensive,decessi,popolazione_giorno,diagnosi_start,diagnosi_end,ricoveri_start,ricoveri_end,intensive_start,intensive_end,decessi_start,decessi_end,totale,percentuale_popolazione,percentuale_diagnosi,percentuale_ricoveri,percentuale_intensive,percentuale_decessi
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,80+,non vaccinati,235904,1055,375,16,190,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,4563500,0.051693656184945765,0.004472158166033641,0.0015896296798697776,6.782419967444384e-05,0.0008054123711340206
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,80+,vaccinati incompleto,93709,95,33,0,15,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,4563500,0.020534458200942258,0.0010137766916731583,0.00035215400868646553,0.0,0.00016007000394839343
2021-11-03,2021-11-05,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_3-novembre-2021.pdf,80+,vaccinati completo,4233887,4591,991,44,309,2021-10-16,2021-10-01,2021-10-31,2021-09-24,2021-10-24,2021-09-24,2021-10-24,2021-09-10,2021-10-10,4563500,0.927771885614112,0.0010843463701322212,0.00023406387558288637,1.0392341600047428e-05,7.298258078215125e-05
2021-11-10,2021-11-12,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_10-novembre-2021.pdf,12-39,non vaccinati,3649047,18568,475,30,3,2021-10-23,2021-10-08,2021-11-07,2021-10-01,2021-10-31,2021-10-01,2021-10-31,2021-09-17,2021-10-17,17435555,0.20928768828981928,0.005088451861540835,0.00013017097340757737,8.221324636268044e-06,8.221324636268044e-07
2021-11-10,2021-11-12,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_10-novembre-2021.pdf,12-39,vaccinati incompleto,1281842,1513,22,1,2,2021-10-23,2021-10-08,2021-11-07,2021-10-01,2021-10-31,2021-10-01,2021-10-31,2021-09-17,2021-10-17,17435555,0.07351885271217348,0.0011803326775062762,1.7162801655742283e-05,7.801273479882856e-07,1.5602546959765712e-06
2021-11-10,2021-11-12,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_10-novembre-2021.pdf,12-39,vaccinati completo <= 6 mesi,11871919,11624,78,0,2,2021-10-23,2021-10-08,2021-11-07,2021-10-01,2021-10-31,2021-10-01,2021-10-31,2021-09-17,2021-10-17,17435555,0.6809028447904296,0.0009791171924269362,6.570125689031402e-06,0.0,1.6846476125721545e-07
2021-11-10,2021-11-12,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_10-novembre-2021.pdf,12-39,vaccinati completo > 6 mesi,620294,1535,18,0,0,2021-10-23,2021-10-08,2021-11-07,2021-10-01,2021-10-31,2021-10-01,2021-10-31,2021-09-17,2021-10-17,17435555,0.03557638400383584,0.0024746329966112844,2.9018497680132324e-05,0.0,0.0
2021-11-10,2021-11-12,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_10-novembre-2021.pdf,12-39,vaccinati completo + aggiuntiva/booster,12453,21,1,0,0,2021-10-23,2021-10-08,2021-11-07,2021-10-01,2021-10-31,2021-10-01,2021-10-31,2021-09-17,2021-10-17,17435555,0.000714230203741722,0.0016863406408094434,8.030193527664017e-05,0.0,0.0
2021-11-10,2021-11-12,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_10-novembre-2021.pdf,40-59,non vaccinati,3102638,15027,991,106,47,2021-10-23,2021-10-08,2021-11-07,2021-10-01,2021-10-31,2021-10-01,2021-10-31,2021-09-17,2021-10-17,18437505,0.16827862555155917,0.004843297864591358,0.00031940561547947265,3.416447552050868e-05,1.5148399523244413e-05
2021-11-10,2021-11-12,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_10-novembre-2021.pdf,40-59,vaccinati incompleto,873639,1284,31,2,3,2021-10-23,2021-10-08,2021-11-07,2021-10-01,2021-10-31,2021-10-01,2021-10-31,2021-09-17,2021-10-17,18437505,0.04738379731964818,0.0014697146075209554,3.548376388874581e-05,2.289275089596504e-06,3.4339126343947556e-06
2021-11-10,2021-11-12,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_10-novembre-2021.pdf,40-59,vaccinati completo <= 6 mesi,13421801,17003,202,16,8,2021-10-23,2021-10-08,2021-11-07,2021-10-01,2021-10-31,2021-10-01,2021-10-31,2021-09-17,2021-10-17,18437505,0.7279618907221991,0.0012668195572263364,1.5050141184480383e-05,1.1920903908499313e-06,5.960451954249657e-07
2021-11-10,2021-11-12,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_10-novembre-2021.pdf,40-59,vaccinati completo > 6 mesi,991158,2604,50,1,1,2021-10-23,2021-10-08,2021-11-07,2021-10-01,2021-10-31,2021-10-01,2021-10-31,2021-09-17,2021-10-17,18437505,0.053757707455536964,0.002627229967371499,5.044604392034368e-05,1.0089208784068737e-06,1.0089208784068737e-06
